Note: Several counties contain special characters that can only be rendered correctly by following the steps below for opening the csv in Excel or Google Sheets.
Excel on Mac and Google Sheets : please refer to this official article: Import data from a CSV HTML or text file.
https://nam11.safelinks.protection.outlook.com/?url=https%3A%2F%2Fsupport.microsoft.com%2Fen-us%2Foffice%2Fimport-data-from-a-csv-html-or-text-file-b62efe49-4d5b-4429-b788-e1211b5e90f6%3Fui%3Den-us%26rs%3Den-us%26ad%3Dus&data=05%7C01%7Cshamaya.lurae.whitby%40emory.edu%7C0fd288bc84be41fae33c08dac34a0c82%7Ce004fb9cb0a4424fbcd0322606d5df38%7C0%7C0%7C638037020071507443%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=fbuH9B3RH8A5Ourun52x3TKT9ua%2B5DFN886z9ZgH4nw%3D&reserved=0
Excel on Mircosoft: please refer to this official article: Import data from a CSV HTML or text file.
https://nam11.safelinks.protection.outlook.com/?url=https%3A%2F%2Fanswers.microsoft.com%2Fen-us%2Fmsoffice%2Fforum%2Fall%2Fhow-to-open-utf-8-csv-file-in-excel-without-mis%2F1eb15700-d235-441e-8b99-db10fafff3c2&data=05%7C01%7Cshamaya.lurae.whitby%40emory.edu%7C0fd288bc84be41fae33c08dac34a0c82%7Ce004fb9cb0a4424fbcd0322606d5df38%7C0%7C0%7C638037020071507443%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=sv24XsWqYIGnrQGkEiQCghebOTHFKFF2RU%2BuYFy0LE8%3D&reserved=0

county,state,"Rates of Persons Living with HIV, 2021"
"Autauga","Alabama",218
"Baldwin","Alabama",174
"Barbour","Alabama",514
"Bibb","Alabama",269
"Blount","Alabama",81
"Bullock","Alabama",616
"Butler","Alabama",377
"Calhoun","Alabama",255
"Chambers","Alabama",360
"Cherokee","Alabama",133
"Chilton","Alabama",169
"Choctaw","Alabama",279
"Clarke","Alabama",202
"Clay","Alabama",173
"Cleburne","Alabama",87
"Coffee","Alabama",180
"Colbert","Alabama",137
"Conecuh","Alabama",299
"Coosa","Alabama",205
"Covington","Alabama",164
"Crenshaw","Alabama",246
"Cullman","Alabama",109
"Dale","Alabama",334
"Dallas","Alabama",415
"DeKalb","Alabama",110
"Elmore","Alabama",280
"Escambia","Alabama",230
"Etowah","Alabama",222
"Fayette","Alabama",95
"Franklin","Alabama",87
"Geneva","Alabama",172
"Greene","Alabama",480
"Hale","Alabama",531
"Henry","Alabama",287
"Houston","Alabama",418
"Jackson","Alabama",102
"Jefferson","Alabama",679
"Lamar","Alabama",206
"Lauderdale","Alabama",123
"Lawrence","Alabama",89
"Lee","Alabama",219
"Limestone","Alabama",145
"Lowndes","Alabama",549
"Macon","Alabama",633
"Madison","Alabama",258
"Marengo","Alabama",194
"Marion","Alabama",156
"Marshall","Alabama",158
"Mobile","Alabama",563
"Monroe","Alabama",208
"Montgomery","Alabama",827
"Morgan","Alabama",149
"Perry","Alabama",419
"Pickens","Alabama",344
"Pike","Alabama",405
"Randolph","Alabama",102
"Russell","Alabama",420
"Shelby","Alabama",181
"St. Clair","Alabama",168
"Sumter","Alabama",355
"Talladega","Alabama",258
"Tallapoosa","Alabama",216
"Tuscaloosa","Alabama",294
"Walker","Alabama",153
"Washington","Alabama",116
"Wilcox","Alabama",240
"Winston","Alabama",59
"Aleutians East","Alaska",-4
"Aleutians West","Alaska",-4
"Anchorage","Alaska",-4
"Bethel","Alaska",-4
"Bristol Bay","Alaska",-4
"Chugach","Alaska",-4
"Copper River","Alaska",-4
"Denali","Alaska",-4
"Dillingham","Alaska",-4
"Fairbanks North Star","Alaska",-4
"Haines","Alaska",-4
"Hoonah-Angoon","Alaska",-4
"Juneau","Alaska",-4
"Kenai Peninsula","Alaska",-4
"Ketchikan Gateway","Alaska",-4
"Kodiak Island","Alaska",-4
"Kusilvak","Alaska",-4
"Lake and Peninsula","Alaska",-4
"Matanuska-Susitna","Alaska",-4
"Nome","Alaska",-4
"North Slope","Alaska",-4
"Northwest Arctic","Alaska",-4
"Petersburg","Alaska",-4
"Prince of Wales-Hyder","Alaska",-4
"Sitka","Alaska",-4
"Skagway","Alaska",-4
"Southeast Fairbanks","Alaska",-4
"Wrangell","Alaska",-4
"Yakutat","Alaska",-4
"Yukon-Koyukuk","Alaska",-4
"Apache","Arizona",231
"Cochise","Arizona",200
"Coconino","Arizona",143
"Gila","Arizona",121
"Graham","Arizona",97
"Greenlee","Arizona",-1
"La Paz","Arizona",-1
"Maricopa","Arizona",329
"Mohave","Arizona",153
"Navajo","Arizona",146
"Pima","Arizona",311
"Pinal","Arizona",293
"Santa Cruz","Arizona",191
"Yavapai","Arizona",147
"Yuma","Arizona",185
"Arkansas","Arkansas",280
"Ashley","Arkansas",146
"Baxter","Arkansas",122
"Benton","Arkansas",130
"Boone","Arkansas",88
"Bradley","Arkansas",105
"Calhoun","Arkansas",121
"Carroll","Arkansas",253
"Chicot","Arkansas",365
"Clark","Arkansas",142
"Clay","Arkansas",107
"Cleburne","Arkansas",110
"Cleveland","Arkansas",125
"Columbia","Arkansas",203
"Conway","Arkansas",160
"Craighead","Arkansas",201
"Crawford","Arkansas",107
"Crittenden","Arkansas",595
"Cross","Arkansas",252
"Dallas","Arkansas",-1
"Desha","Arkansas",230
"Drew","Arkansas",173
"Faulkner","Arkansas",194
"Franklin","Arkansas",62
"Fulton","Arkansas",106
"Garland","Arkansas",251
"Grant","Arkansas",156
"Greene","Arkansas",102
"Hempstead","Arkansas",199
"Hot Spring","Arkansas",262
"Howard","Arkansas",184
"Independence","Arkansas",175
"Izard","Arkansas",140
"Jackson","Arkansas",237
"Jefferson","Arkansas",519
"Johnson","Arkansas",70
"Lafayette","Arkansas",112
"Lawrence","Arkansas",95
"Lee","Arkansas",507
"Lincoln","Arkansas",336
"Little River","Arkansas",209
"Logan","Arkansas",78
"Lonoke","Arkansas",101
"Madison","Arkansas",134
"Marion","Arkansas",108
"Miller","Arkansas",360
"Mississippi","Arkansas",251
"Monroe","Arkansas",340
"Montgomery","Arkansas",67
"Nevada","Arkansas",145
"Newton","Arkansas",80
"Ouachita","Arkansas",281
"Perry","Arkansas",130
"Phillips","Arkansas",332
"Pike","Arkansas",82
"Poinsett","Arkansas",96
"Polk","Arkansas",92
"Pope","Arkansas",110
"Prairie","Arkansas",173
"Pulaski","Arkansas",603
"Randolph","Arkansas",103
"Saline","Arkansas",132
"Scott","Arkansas",-1
"Searcy","Arkansas",74
"Sebastian","Arkansas",199
"Sevier","Arkansas",151
"Sharp","Arkansas",80
"St. Francis","Arkansas",431
"Stone","Arkansas",111
"Union","Arkansas",342
"Van Buren","Arkansas",58
"Washington","Arkansas",179
"White","Arkansas",134
"Woodruff","Arkansas",252
"Yell","Arkansas",167
"Alameda","California",424
"Alpine","California",-1
"Amador","California",483
"Butte","California",134
"Calaveras","California",126
"Colusa","California",112
"Contra Costa","California",278
"Del Norte","California",183
"El Dorado","California",136
"Fresno","California",271
"Glenn","California",81
"Humboldt","California",199
"Imperial","California",275
"Inyo","California",149
"Kern","California",289
"Kings","California",147
"Lake","California",243
"Lassen","California",97
"Los Angeles","California",602
"Madera","California",184
"Marin","California",341
"Mariposa","California",139
"Mendocino","California",224
"Merced","California",175
"Modoc","California",-1
"Mono","California",60
"Monterey","California",213
"Napa","California",242
"Nevada","California",140
"Orange","California",268
"Placer","California",115
"Plumas","California",131
"Riverside","California",496
"Sacramento","California",350
"San Benito","California",110
"San Bernardino","California",282
"San Diego","California",485
"San Francisco","California",1590
"San Joaquin","California",235
"San Luis Obispo","California",158
"San Mateo","California",261
"Santa Barbara","California",163
"Santa Clara","California",219
"Santa Cruz","California",220
"Shasta","California",133
"Sierra","California",-1
"Siskiyou","California",156
"Solano","California",349
"Sonoma","California",333
"Stanislaus","California",190
"Sutter","California",152
"Tehama","California",83
"Trinity","California",92
"Tulare","California",143
"Tuolumne","California",114
"Ventura","California",168
"Yolo","California",170
"Yuba","California",154
"Adams","Colorado",290
"Alamosa","Colorado",197
"Arapahoe","Colorado",297
"Archuleta","Colorado",132
"Baca","Colorado",-1
"Bent","Colorado",156
"Boulder","Colorado",166
"Broomfield","Colorado",19
"Chaffee","Colorado",100
"Cheyenne","Colorado",-1
"Clear Creek","Colorado",234
"Conejos","Colorado",-1
"Costilla","Colorado",222
"Crowley","Colorado",396
"Custer","Colorado",-1
"Delta","Colorado",106
"Denver","Colorado",871
"Dolores","Colorado",-1
"Douglas","Colorado",88
"Eagle","Colorado",154
"El Paso","Colorado",168
"Elbert","Colorado",103
"Fremont","Colorado",329
"Garfield","Colorado",154
"Gilpin","Colorado",169
"Grand","Colorado",155
"Gunnison","Colorado",59
"Hinsdale","Colorado",-1
"Huerfano","Colorado",194
"Jackson","Colorado",-1
"Jefferson","Colorado",181
"Kiowa","Colorado",0
"Kit Carson","Colorado",105
"La Plata","Colorado",132
"Lake","Colorado",111
"Larimer","Colorado",100
"Las Animas","Colorado",187
"Lincoln","Colorado",266
"Logan","Colorado",160
"Mesa","Colorado",136
"Mineral","Colorado",-1
"Moffat","Colorado",101
"Montezuma","Colorado",121
"Montrose","Colorado",84
"Morgan","Colorado",102
"Otero","Colorado",103
"Ouray","Colorado",-1
"Park","Colorado",157
"Phillips","Colorado",133
"Pitkin","Colorado",148
"Prowers","Colorado",102
"Pueblo","Colorado",179
"Rio Blanco","Colorado",-1
"Rio Grande","Colorado",134
"Routt","Colorado",127
"Saguache","Colorado",230
"San Juan","Colorado",-1
"San Miguel","Colorado",70
"Sedgwick","Colorado",-1
"Summit","Colorado",160
"Teller","Colorado",86
"Washington","Colorado",-1
"Weld","Colorado",88
"Yuma","Colorado",125
"Fairfield","Connecticut",329
"Hartford","Connecticut",399
"Litchfield","Connecticut",164
"Middlesex","Connecticut",211
"New Haven","Connecticut",449
"New London","Connecticut",246
"Tolland","Connecticut",122
"Windham","Connecticut",188
"Kent","Delaware",322
"New Castle","Delaware",444
"Sussex","Delaware",350
"Alachua","Florida",425
"Baker","Florida",544
"Bay","Florida",334
"Bradford","Florida",305
"Brevard","Florida",327
"Broward","Florida",1236
"Calhoun","Florida",229
"Charlotte","Florida",194
"Citrus","Florida",171
"Clay","Florida",231
"Collier","Florida",294
"Columbia","Florida",529
"DeSoto","Florida",467
"Dixie","Florida",289
"Duval","Florida",777
"Escambia","Florida",471
"Flagler","Florida",244
"Franklin","Florida",151
"Gadsden","Florida",711
"Gilchrist","Florida",185
"Glades","Florida",785
"Gulf","Florida",208
"Hamilton","Florida",1183
"Hardee","Florida",298
"Hendry","Florida",477
"Hernando","Florida",260
"Highlands","Florida",307
"Hillsborough","Florida",598
"Holmes","Florida",130
"Indian River","Florida",284
"Jackson","Florida",913
"Jefferson","Florida",701
"Lafayette","Florida",205
"Lake","Florida",313
"Lee","Florida",337
"Leon","Florida",519
"Levy","Florida",263
"Liberty","Florida",157
"Madison","Florida",675
"Manatee","Florida",329
"Marion","Florida",335
"Martin","Florida",265
"Miami-Dade","Florida",1190
"Monroe","Florida",728
"Nassau","Florida",177
"Okaloosa","Florida",260
"Okeechobee","Florida",317
"Orange","Florida",776
"Osceola","Florida",467
"Palm Beach","Florida",628
"Pasco","Florida",264
"Pinellas","Florida",579
"Polk","Florida",437
"Putnam","Florida",403
"Santa Rosa","Florida",156
"Sarasota","Florida",264
"Seminole","Florida",332
"St. Johns","Florida",155
"St. Lucie","Florida",597
"Sumter","Florida",219
"Suwannee","Florida",491
"Taylor","Florida",656
"Union","Florida",1684
"Volusia","Florida",388
"Wakulla","Florida",363
"Walton","Florida",152
"Washington","Florida",680
"Appling","Georgia",242
"Atkinson","Georgia",321
"Bacon","Georgia",494
"Baker","Georgia",287
"Baldwin","Georgia",348
"Banks","Georgia",164
"Barrow","Georgia",194
"Bartow","Georgia",249
"Ben Hill","Georgia",345
"Berrien","Georgia",350
"Bibb","Georgia",1008
"Bleckley","Georgia",413
"Brantley","Georgia",145
"Brooks","Georgia",456
"Bryan","Georgia",180
"Bulloch","Georgia",376
"Burke","Georgia",513
"Butts","Georgia",608
"Calhoun","Georgia",653
"Camden","Georgia",225
"Candler","Georgia",309
"Carroll","Georgia",274
"Catoosa","Georgia",84
"Charlton","Georgia",523
"Chatham","Georgia",739
"Chattahoochee","Georgia",149
"Chattooga","Georgia",271
"Cherokee","Georgia",195
"Clarke","Georgia",419
"Clay","Georgia",445
"Clayton","Georgia",1049
"Clinch","Georgia",452
"Cobb","Georgia",565
"Coffee","Georgia",335
"Colquitt","Georgia",536
"Columbia","Georgia",194
"Cook","Georgia",521
"Coweta","Georgia",242
"Crawford","Georgia",191
"Crisp","Georgia",788
"Dade","Georgia",113
"Dawson","Georgia",168
"Decatur","Georgia",629
"DeKalb","Georgia",1443
"Dodge","Georgia",461
"Dooly","Georgia",587
"Dougherty","Georgia",1115
"Douglas","Georgia",595
"Early","Georgia",306
"Echols","Georgia",-1
"Effingham","Georgia",164
"Elbert","Georgia",236
"Emanuel","Georgia",327
"Evans","Georgia",510
"Fannin","Georgia",195
"Fayette","Georgia",237
"Floyd","Georgia",299
"Forsyth","Georgia",91
"Franklin","Georgia",274
"Fulton","Georgia",1802
"Gilmer","Georgia",201
"Glascock","Georgia",279
"Glynn","Georgia",486
"Gordon","Georgia",168
"Grady","Georgia",325
"Greene","Georgia",211
"Gwinnett","Georgia",423
"Habersham","Georgia",126
"Hall","Georgia",191
"Hancock","Georgia",515
"Haralson","Georgia",130
"Harris","Georgia",155
"Hart","Georgia",150
"Heard","Georgia",174
"Henry","Georgia",527
"Houston","Georgia",333
"Irwin","Georgia",967
"Jackson","Georgia",159
"Jasper","Georgia",163
"Jeff Davis","Georgia",246
"Jefferson","Georgia",370
"Jenkins","Georgia",391
"Johnson","Georgia",226
"Jones","Georgia",120
"Lamar","Georgia",283
"Lanier","Georgia",218
"Laurens","Georgia",468
"Lee","Georgia",222
"Liberty","Georgia",514
"Lincoln","Georgia",298
"Long","Georgia",167
"Lowndes","Georgia",681
"Lumpkin","Georgia",93
"Macon","Georgia",575
"Madison","Georgia",163
"Marion","Georgia",266
"McDuffie","Georgia",291
"McIntosh","Georgia",523
"Meriwether","Georgia",604
"Miller","Georgia",362
"Mitchell","Georgia",581
"Monroe","Georgia",220
"Montgomery","Georgia",216
"Morgan","Georgia",224
"Murray","Georgia",117
"Muscogee","Georgia",691
"Newton","Georgia",477
"Oconee","Georgia",62
"Oglethorpe","Georgia",162
"Paulding","Georgia",201
"Peach","Georgia",574
"Pickens","Georgia",121
"Pierce","Georgia",181
"Pike","Georgia",67
"Polk","Georgia",204
"Pulaski","Georgia",390
"Putnam","Georgia",184
"Quitman","Georgia",562
"Rabun","Georgia",118
"Randolph","Georgia",686
"Richmond","Georgia",897
"Rockdale","Georgia",589
"Schley","Georgia",211
"Screven","Georgia",323
"Seminole","Georgia",304
"Spalding","Georgia",402
"Stephens","Georgia",261
"Stewart","Georgia",1618
"Sumter","Georgia",561
"Talbot","Georgia",512
"Taliaferro","Georgia",510
"Tattnall","Georgia",439
"Taylor","Georgia",476
"Telfair","Georgia",753
"Terrell","Georgia",634
"Thomas","Georgia",451
"Tift","Georgia",491
"Toombs","Georgia",397
"Towns","Georgia",102
"Treutlen","Georgia",451
"Troup","Georgia",358
"Turner","Georgia",623
"Twiggs","Georgia",220
"Union","Georgia",131
"Upson","Georgia",275
"Walker","Georgia",165
"Walton","Georgia",338
"Ware","Georgia",566
"Warren","Georgia",424
"Washington","Georgia",292
"Wayne","Georgia",423
"Webster","Georgia",-1
"Wheeler","Georgia",406
"White","Georgia",65
"Whitfield","Georgia",167
"Wilcox","Georgia",737
"Wilkes","Georgia",331
"Wilkinson","Georgia",160
"Worth","Georgia",360
"Hawaii","Hawaii",266
"Honolulu","Hawaii",176
"Kalawao","Hawaii",-1
"Kauai","Hawaii",-1
"Maui","Hawaii",228
"Ada","Idaho",34
"Adams","Idaho",0
"Bannock","Idaho",36
"Bear Lake","Idaho",0
"Benewah","Idaho",-1
"Bingham","Idaho",28
"Blaine","Idaho",-1
"Boise","Idaho",-1
"Bonner","Idaho",30
"Bonneville","Idaho",22
"Boundary","Idaho",-1
"Butte","Idaho",0
"Camas","Idaho",0
"Canyon","Idaho",28
"Caribou","Idaho",0
"Cassia","Idaho",25
"Clark","Idaho",0
"Clearwater","Idaho",-1
"Custer","Idaho",0
"Elmore","Idaho",51
"Franklin","Idaho",0
"Fremont","Idaho",-1
"Gem","Idaho",36
"Gooding","Idaho",70
"Idaho","Idaho",-1
"Jefferson","Idaho",-1
"Jerome","Idaho",-1
"Kootenai","Idaho",22
"Latah","Idaho",17
"Lemhi","Idaho",-1
"Lewis","Idaho",0
"Lincoln","Idaho",-1
"Madison","Idaho",-1
"Minidoka","Idaho",-1
"Nez Perce","Idaho",19
"Oneida","Idaho",0
"Owyhee","Idaho",-1
"Payette","Idaho",-1
"Power","Idaho",-1
"Shoshone","Idaho",-1
"Teton","Idaho",0
"Twin Falls","Idaho",16
"Valley","Idaho",-1
"Washington","Idaho",0
"Adams","Illinois",72
"Alexander","Illinois",422
"Bond","Illinois",97
"Boone","Illinois",47
"Brown","Illinois",106
"Bureau","Illinois",75
"Calhoun","Illinois",133
"Carroll","Illinois",51
"Cass","Illinois",-1
"Champaign","Illinois",228
"Christian","Illinois",90
"Clark","Illinois",70
"Clay","Illinois",-1
"Clinton","Illinois",83
"Coles","Illinois",105
"Cook","Illinois",586
"Crawford","Illinois",125
"Cumberland","Illinois",92
"De Witt","Illinois",38
"DeKalb","Illinois",102
"Douglas","Illinois",-1
"DuPage","Illinois",97
"Edgar","Illinois",56
"Edwards","Illinois",-1
"Effingham","Illinois",32
"Fayette","Illinois",71
"Ford","Illinois",53
"Franklin","Illinois",76
"Fulton","Illinois",153
"Gallatin","Illinois",-1
"Greene","Illinois",-1
"Grundy","Illinois",32
"Hamilton","Illinois",0
"Hancock","Illinois",-1
"Hardin","Illinois",-1
"Henderson","Illinois",-1
"Henry","Illinois",48
"Iroquois","Illinois",66
"Jackson","Illinois",103
"Jasper","Illinois",-1
"Jefferson","Illinois",123
"Jersey","Illinois",44
"Jo Daviess","Illinois",42
"Johnson","Illinois",237
"Kane","Illinois",82
"Kankakee","Illinois",165
"Kendall","Illinois",58
"Knox","Illinois",206
"Lake","Illinois",146
"LaSalle","Illinois",85
"Lawrence","Illinois",61
"Lee","Illinois",85
"Livingston","Illinois",152
"Logan","Illinois",173
"Macon","Illinois",179
"Macoupin","Illinois",92
"Madison","Illinois",95
"Marion","Illinois",42
"Marshall","Illinois",60
"Mason","Illinois",63
"Massac","Illinois",-1
"McDonough","Illinois",106
"McHenry","Illinois",62
"McLean","Illinois",151
"Menard","Illinois",97
"Mercer","Illinois",45
"Monroe","Illinois",20
"Montgomery","Illinois",149
"Morgan","Illinois",81
"Moultrie","Illinois",-1
"Ogle","Illinois",46
"Peoria","Illinois",250
"Perry","Illinois",159
"Piatt","Illinois",35
"Pike","Illinois",0
"Pope","Illinois",-1
"Pulaski","Illinois",299
"Putnam","Illinois",0
"Randolph","Illinois",111
"Richland","Illinois",-1
"Rock Island","Illinois",201
"Saline","Illinois",-1
"Sangamon","Illinois",200
"Schuyler","Illinois",-1
"Scott","Illinois",0
"Shelby","Illinois",-1
"St. Clair","Illinois",345
"Stark","Illinois",-1
"Stephenson","Illinois",123
"Tazewell","Illinois",79
"Union","Illinois",42
"Vermilion","Illinois",202
"Wabash","Illinois",64
"Warren","Illinois",-1
"Washington","Illinois",0
"Wayne","Illinois",60
"White","Illinois",-1
"Whiteside","Illinois",-1
"Will","Illinois",117
"Williamson","Illinois",117
"Winnebago","Illinois",136
"Woodford","Illinois",66
"Adams","Indiana",22
"Allen","Indiana",189
"Bartholomew","Indiana",88
"Benton","Indiana",138
"Blackford","Indiana",-1
"Boone","Indiana",92
"Brown","Indiana",94
"Carroll","Indiana",29
"Cass","Indiana",95
"Clark","Indiana",237
"Clay","Indiana",86
"Clinton","Indiana",104
"Crawford","Indiana",89
"Daviess","Indiana",118
"Dearborn","Indiana",44
"Decatur","Indiana",87
"DeKalb","Indiana",64
"Delaware","Indiana",137
"Dubois","Indiana",61
"Elkhart","Indiana",124
"Fayette","Indiana",71
"Floyd","Indiana",158
"Fountain","Indiana",36
"Franklin","Indiana",31
"Fulton","Indiana",88
"Gibson","Indiana",58
"Grant","Indiana",126
"Greene","Indiana",88
"Hamilton","Indiana",95
"Hancock","Indiana",93
"Harrison","Indiana",71
"Hendricks","Indiana",128
"Henry","Indiana",119
"Howard","Indiana",176
"Huntington","Indiana",100
"Jackson","Indiana",145
"Jasper","Indiana",93
"Jay","Indiana",72
"Jefferson","Indiana",123
"Jennings","Indiana",35
"Johnson","Indiana",122
"Knox","Indiana",102
"Kosciusko","Indiana",57
"LaGrange","Indiana",45
"Lake","Indiana",258
"LaPorte","Indiana",208
"Lawrence","Indiana",96
"Madison","Indiana",199
"Marion","Indiana",625
"Marshall","Indiana",47
"Martin","Indiana",85
"Miami","Indiana",117
"Monroe","Indiana",189
"Montgomery","Indiana",113
"Morgan","Indiana",100
"Newton","Indiana",51
"Noble","Indiana",56
"Ohio","Indiana",-1
"Orange","Indiana",90
"Owen","Indiana",93
"Parke","Indiana",130
"Perry","Indiana",103
"Pike","Indiana",-1
"Porter","Indiana",116
"Posey","Indiana",66
"Pulaski","Indiana",57
"Putnam","Indiana",169
"Randolph","Indiana",107
"Ripley","Indiana",58
"Rush","Indiana",64
"Scott","Indiana",730
"Shelby","Indiana",84
"Spencer","Indiana",30
"St. Joseph","Indiana",260
"Starke","Indiana",76
"Steuben","Indiana",61
"Sullivan","Indiana",122
"Switzerland","Indiana",74
"Tippecanoe","Indiana",133
"Tipton","Indiana",46
"Union","Indiana",-1
"Vanderburgh","Indiana",210
"Vermillion","Indiana",69
"Vigo","Indiana",231
"Wabash","Indiana",46
"Warren","Indiana",-1
"Warrick","Indiana",70
"Washington","Indiana",101
"Wayne","Indiana",145
"Wells","Indiana",60
"White","Indiana",97
"Whitley","Indiana",52
"Adair","Iowa",79
"Adams","Iowa",0
"Allamakee","Iowa",-1
"Appanoose","Iowa",48
"Audubon","Iowa",105
"Benton","Iowa",37
"Black Hawk","Iowa",113
"Boone","Iowa",65
"Bremer","Iowa",24
"Buchanan","Iowa",59
"Buena Vista","Iowa",107
"Butler","Iowa",41
"Calhoun","Iowa",0
"Carroll","Iowa",88
"Cass","Iowa",-1
"Cedar","Iowa",45
"Cerro Gordo","Iowa",93
"Cherokee","Iowa",-1
"Chickasaw","Iowa",50
"Clarke","Iowa",75
"Clay","Iowa",51
"Clayton","Iowa",83
"Clinton","Iowa",108
"Crawford","Iowa",90
"Dallas","Iowa",81
"Davis","Iowa",0
"Decatur","Iowa",-1
"Delaware","Iowa",48
"Des Moines","Iowa",99
"Dickinson","Iowa",45
"Dubuque","Iowa",94
"Emmet","Iowa",-1
"Fayette","Iowa",85
"Floyd","Iowa",54
"Franklin","Iowa",-1
"Fremont","Iowa",90
"Greene","Iowa",82
"Grundy","Iowa",-1
"Guthrie","Iowa",-1
"Hamilton","Iowa",88
"Hancock","Iowa",-1
"Hardin","Iowa",83
"Harrison","Iowa",41
"Henry","Iowa",58
"Howard","Iowa",-1
"Humboldt","Iowa",-1
"Ida","Iowa",-1
"Iowa","Iowa",50
"Jackson","Iowa",55
"Jasper","Iowa",106
"Jefferson","Iowa",50
"Johnson","Iowa",160
"Jones","Iowa",101
"Keokuk","Iowa",72
"Kossuth","Iowa",-1
"Lee","Iowa",50
"Linn","Iowa",150
"Louisa","Iowa",77
"Lucas","Iowa",83
"Lyon","Iowa",-1
"Madison","Iowa",100
"Mahaska","Iowa",49
"Marion","Iowa",43
"Marshall","Iowa",107
"Mills","Iowa",74
"Mitchell","Iowa",-1
"Monona","Iowa",-1
"Monroe","Iowa",-1
"Montgomery","Iowa",81
"Muscatine","Iowa",76
"O'Brien","Iowa",-1
"Osceola","Iowa",-1
"Page","Iowa",52
"Palo Alto","Iowa",-1
"Plymouth","Iowa",47
"Pocahontas","Iowa",84
"Polk","Iowa",217
"Pottawattamie","Iowa",152
"Poweshiek","Iowa",112
"Ringgold","Iowa",-1
"Sac","Iowa",-1
"Scott","Iowa",149
"Shelby","Iowa",61
"Sioux","Iowa",38
"Story","Iowa",72
"Tama","Iowa",93
"Taylor","Iowa",-1
"Union","Iowa",69
"Van Buren","Iowa",-1
"Wapello","Iowa",95
"Warren","Iowa",56
"Washington","Iowa",92
"Wayne","Iowa",-1
"Webster","Iowa",57
"Winnebago","Iowa",67
"Winneshiek","Iowa",-1
"Woodbury","Iowa",149
"Worth","Iowa",-1
"Wright","Iowa",76
"Allen","Kansas",123
"Anderson","Kansas",110
"Atchison","Kansas",66
"Barber","Kansas",145
"Barton","Kansas",91
"Bourbon","Kansas",111
"Brown","Kansas",78
"Butler","Kansas",91
"Chase","Kansas",226
"Chautauqua","Kansas",-1
"Cherokee","Kansas",56
"Cheyenne","Kansas",-1
"Clark","Kansas",-1
"Clay","Kansas",-1
"Cloud","Kansas",107
"Coffey","Kansas",-1
"Comanche","Kansas",0
"Cowley","Kansas",108
"Crawford","Kansas",82
"Decatur","Kansas",-1
"Dickinson","Kansas",84
"Doniphan","Kansas",-1
"Douglas","Kansas",81
"Edwards","Kansas",-1
"Elk","Kansas",0
"Ellis","Kansas",69
"Ellsworth","Kansas",180
"Finney","Kansas",117
"Ford","Kansas",109
"Franklin","Kansas",101
"Geary","Kansas",171
"Gove","Kansas",0
"Graham","Kansas",-1
"Grant","Kansas",-1
"Gray","Kansas",-1
"Greeley","Kansas",0
"Greenwood","Kansas",138
"Hamilton","Kansas",-1
"Harper","Kansas",-1
"Harvey","Kansas",99
"Haskell","Kansas",-1
"Hodgeman","Kansas",0
"Jackson","Kansas",46
"Jefferson","Kansas",58
"Jewell","Kansas",0
"Johnson","Kansas",154
"Kearny","Kansas",-1
"Kingman","Kansas",-1
"Kiowa","Kansas",-1
"Labette","Kansas",79
"Lane","Kansas",0
"Leavenworth","Kansas",174
"Lincoln","Kansas",-1
"Linn","Kansas",72
"Logan","Kansas",0
"Lyon","Kansas",37
"Marion","Kansas",50
"Marshall","Kansas",85
"McPherson","Kansas",39
"Meade","Kansas",-1
"Miami","Kansas",69
"Mitchell","Kansas",-1
"Montgomery","Kansas",96
"Morris","Kansas",-1
"Morton","Kansas",-1
"Nemaha","Kansas",-1
"Neosho","Kansas",61
"Ness","Kansas",-1
"Norton","Kansas",-1
"Osage","Kansas",53
"Osborne","Kansas",0
"Ottawa","Kansas",-1
"Pawnee","Kansas",232
"Phillips","Kansas",0
"Pottawatomie","Kansas",39
"Pratt","Kansas",-1
"Rawlins","Kansas",0
"Reno","Kansas",92
"Republic","Kansas",-1
"Rice","Kansas",63
"Riley","Kansas",93
"Rooks","Kansas",-1
"Rush","Kansas",-1
"Russell","Kansas",-1
"Saline","Kansas",142
"Scott","Kansas",0
"Sedgwick","Kansas",210
"Seward","Kansas",195
"Shawnee","Kansas",156
"Sheridan","Kansas",0
"Sherman","Kansas",-1
"Smith","Kansas",0
"Stafford","Kansas",-1
"Stanton","Kansas",-1
"Stevens","Kansas",-1
"Sumner","Kansas",139
"Thomas","Kansas",-1
"Trego","Kansas",0
"Wabaunsee","Kansas",-1
"Wallace","Kansas",0
"Washington","Kansas",-1
"Wichita","Kansas",-1
"Wilson","Kansas",-1
"Woodson","Kansas",-1
"Wyandotte","Kansas",346
"Adair","Kentucky",98
"Allen","Kentucky",86
"Anderson","Kentucky",119
